call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
CALL007,1,SPEAKER_0,0.6,1.5,0.9,"Yes, yes.",Unknown
CALL007,2,SPEAKER_2,4.6,7.3,2.7,"Hey, Rakhi, Rakhi, Rakhi, Rakhi, Rakhi.",Agent
CALL007,3,SPEAKER_1,8.4,8.7,0.3,Hello.,Customer
CALL007,4,SPEAKER_2,11.0,14.8,3.8,"Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.",Agent
CALL007,5,SPEAKER_1,15.7,16.6,0.9,"Yes, I will get it. Please tell me.",Customer
CALL007,6,SPEAKER_2,18.1,20.2,2.1,Am I speaking to Pati Sharma ji?,Agent
CALL007,7,SPEAKER_1,20.9,21.7,0.8,"Yes, tell me.",Customer
CALL007,8,SPEAKER_2,22.4,36.2,13.8,"Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?",Agent
CALL007,9,SPEAKER_1,35.9,36.4,0.5,"Okay, ma'am.",Customer
CALL007,10,SPEAKER_2,36.4,37.1,0.7,So...,Agent
CALL007,11,SPEAKER_2,38.7,42.3,3.6,"Sir, I would like to get your basic details, such as your age.",Agent
CALL007,12,SPEAKER_1,43.1,43.8,0.7,Forty.,Customer
CALL007,13,SPEAKER_2,44.6,47.1,2.5,"Forty. And sir, your profession?",Agent
CALL007,14,SPEAKER_1,48.4,51.1,2.7,"Yes, I am in the telecom industry, ma'am.",Customer
CALL007,15,SPEAKER_2,52.6,55.4,2.8,"Okay. And sir, how many members are there in your family?",Agent
CALL007,16,SPEAKER_1,57.1,57.8,0.7,Which number is this?,Customer
CALL007,17,SPEAKER_2,58.6,62.0,3.4,"Three members. And sir, which four-wheeler vehicle do you have?",Agent
CALL007,18,SPEAKER_1,62.6,64.5,1.9,"Ma'am, I have a Mahindra Thar, a four-wheeler.",Customer
CALL007,19,SPEAKER_2,65.1,66.1,1.0,Mahindra Thar.,Agent
CALL007,20,SPEAKER_1,66.9,67.3,0.4,Hmm hmm.,Customer
CALL007,21,SPEAKER_2,68.0,70.0,2.0,"Okay, for rocks?",Agent
CALL007,22,SPEAKER_1,71.0,72.4,1.4,"No, it's not a rock, ma'am. It's a three-door.",Customer
CALL007,23,SPEAKER_2,72.4,79.6,7.2,"It  was  only...  okay.  And  sir,  where  did  you  first  see  the  Mahindra  Adventure  event?  Like  Instagram, Facebook, etc. Where?",Agent
CALL007,24,SPEAKER_1,80.2,82.5,2.3,"No, I don't remember that, but I have been to the event two or three times.",Customer
CALL007,25,SPEAKER_2,83.7,85.7,2.0,"Okay, so...",Agent
CALL007,26,SPEAKER_2,87.1,94.7,7.6,"Sir, you were just watching, you hadn't subscribed to Mahindra's adventure event, right? So you...",Agent
CALL007,27,SPEAKER_1,93.9,96.1,2.2,"No, ma'am, I participated in the Mahindra event.",Customer
CALL007,28,SPEAKER_2,97.6,102.1,4.5,"Okay. Which location were you looking for, sir?",Agent
CALL007,29,SPEAKER_1,101.6,107.4,5.8,"I have been to your academy, and I also went to your normal event show in Purnia.",Customer
CALL007,30,SPEAKER_2,109.2,109.9,0.7,Okay.,Agent
CALL007,31,SPEAKER_2,110.9,118.5,7.6,"Actually, sir, regarding the call you made, you inquired, but for some reason, you didn't subscribe. So I called you regarding that.",Agent
CALL007,32,SPEAKER_1,118.1,125.3,7.2,"Ma'am, I had another plan regarding the weekend, but it couldn't happen because of that. I had a plan, but something else came up, so it couldn't happen.",Customer
CALL007,33,SPEAKER_2,126.8,133.2,6.4,"Okay, so that's why you didn't subscribe, right? So which event were you watching at that time?",Agent
CALL007,34,SPEAKER_1,131.4,131.8,0.4,Which one?,Customer
CALL007,35,SPEAKER_1,134.0,140.5,6.5,"Ma'am, I don't remember that either, but you had an event on February 21 or 22. Which location, sir?",Customer
CALL007,36,SPEAKER_2,139.3,140.7,1.4,"At which location, sir?",Agent
CALL007,37,SPEAKER_1,141.6,143.3,1.7,"No, I was only near Mumbai.",Customer
CALL007,38,SPEAKER_2,143.9,152.5,8.6,"It was in Mumbai itself. And where did you see it? I mean, where did you see Mahindra's first adventure event, like on Instagram or YouTube?",Agent
CALL007,39,SPEAKER_1,151.2,154.7,3.5,"Ma'am, I follow you on Instagram. You keep coming to me.",Customer
CALL007,40,SPEAKER_2,154.2,157.4,3.2,"Okay, you had seen it on Instagram itself. Instagram, okay.",Agent
CALL007,41,SPEAKER_2,159.1,162.2,3.1,"Sir, can I know the name of that adventure?",Agent
CALL007,42,SPEAKER_1,163.3,168.2,4.9,I don't remember the name right now. Please check your calendar once more to see what was said to you.,Customer
CALL007,43,SPEAKER_2,165.4,166.1,0.7,"Now, once on your own...",Agent
CALL007,44,SPEAKER_2,169.1,180.0,10.9,"Okay. And sir, whenever you canceled the plan, were you also watching any other event or outdoor experiences at that time?",Agent
CALL007,45,SPEAKER_1,180.4,182.5,2.1,"No, ma'am, I don't want any other order.",Customer
CALL007,46,SPEAKER_2,182.8,199.1,16.3,"They were not visible, okay. So, sir, what do you think? I mean, by when should we inform you if the adventure event is ongoing? Should we inform you less than one week, one to two weeks, two to four weeks, or...",Agent
CALL007,47,SPEAKER_1,198.0,199.0,1.0,Then I also said four.,Customer
CALL007,48,SPEAKER_1,199.1,211.6,12.5,"You  should  inform  about  the  four-week  package  in  advance,  meaning  that  such  an  event  is  being planned. If it doesn't happen at the last moment, then people are unable to plan accordingly. If you inform at the last moment, then some other plan also comes up along with it, right?",Customer
CALL007,49,SPEAKER_2,203.6,203.9,0.3,"No, no.",Agent
CALL007,50,SPEAKER_2,212.1,216.1,4.0,"Right, so we should inform you four weeks in advance, right? We should inform you.",Agent
CALL007,51,SPEAKER_1,215.4,215.6,0.2,Yes.,Customer
CALL007,52,SPEAKER_1,216.3,216.8,0.5,Yes.,Customer
CALL007,53,SPEAKER_2,216.7,223.4,6.7,"Okay. And sir, what are the things that should be improved so that you can subscribe in the future?",Agent
CALL007,54,SPEAKER_1,225.1,229.9,4.8,"Ma'am, your outdoor events, like the escape one in Pune, right?",Customer
CALL007,55,SPEAKER_2,227.3,227.7,0.4,Yes.,Agent
CALL007,56,SPEAKER_2,230.5,230.9,0.4,Yes.,Agent
CALL007,57,SPEAKER_1,231.2,252.5,21.3,"So  because  of  that,  it  was  like,  I  mean,  it  wasn't  managed  properly.  I  don't  know  if  Mahindra  did  it directly. I don't know who organized it with you. Yes, I don't remember the name. But in that, it was like, there were so many cars that they would come to each spot, and the car would just be parked there for forty-five minutes. So that was a major turn-off in it.",Customer
CALL007,58,SPEAKER_2,254.0,255.1,1.1,"Okay, so...",Agent
CALL007,59,SPEAKER_1,254.8,266.6,11.8,"Right, like if a car is getting stuck ahead, then behind, the entire... I mean, all the people are getting stuck on it. Basically, it's getting completely halted. So, it was happening very frequently in that.",Customer
CALL007,60,SPEAKER_2,255.4,256.1,0.7,"No, no.",Agent
CALL007,61,SPEAKER_2,268.8,273.1,4.3,"Okay, so according to you, this thing, the management, should be proper, right?",Agent
CALL007,62,SPEAKER_1,273.9,274.6,0.7,"Yes, absolutely.",Customer
CALL007,63,SPEAKER_2,275.3,275.9,0.6,Okay.,Agent
CALL007,64,SPEAKER_2,277.3,285.8,8.5,"Okay, Sharma ji, so I will mention your feedback here. It was nice talking to you, sir. Thank you very much for your valuable time. Have a good day.",Agent
CALL007,65,SPEAKER_1,286.3,287.0,0.7,"Thank you, ma'am. Okay.",Customer
