output_version,output_generated_at,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
run_004,2026-07-02T17:28:33,CALL006,1,SPEAKER_2,21.1,21.5,0.4,Hello.,Customer
run_004,2026-07-02T17:28:33,CALL006,2,SPEAKER_1,22.6,27.5,4.9,"Hello, I am Dheeraj speaking from Mahindra Adventures Event. Am I speaking with Mr. Nath?",Agent
run_004,2026-07-02T17:28:33,CALL006,3,SPEAKER_2,27.9,30.0,2.1,"Oh yeah, can you speak in English?",Customer
run_004,2026-07-02T17:28:33,CALL006,4,SPEAKER_1,30.2,33.0,2.8,"Extremely sorry, sir. Am I speaking to Mr. Naz only, right?",Agent
run_004,2026-07-02T17:28:33,CALL006,5,SPEAKER_2,33.5,34.1,0.6,"Yeah, yeah.",Customer
run_004,2026-07-02T17:28:33,CALL006,6,SPEAKER_1,34.2,48.6,14.4,"Mr. Naz, as you have shown your interest in Mahindra Adventure 7, but due to some reason, you rejected this event. This is a feedback call so that we can improve our Adventure 7. Is it a convenient time to speak with you for 8 to 10 minutes?",Agent
run_004,2026-07-02T17:28:33,CALL006,7,SPEAKER_2,49.1,50.4,1.3,"Yeah, yeah.",Customer
run_004,2026-07-02T17:28:33,CALL006,8,SPEAKER_1,50.2,53.2,3.0,"So, for profile purposes, I need to confirm your age. May I know your age?",Agent
run_004,2026-07-02T17:28:33,CALL006,9,SPEAKER_2,55.0,55.5,0.5,Hello.,Customer
run_004,2026-07-02T17:28:33,CALL006,10,SPEAKER_1,56.0,59.0,3.0,"For profile purposes, may I know what your age is, Mr. Naz?",Agent
run_004,2026-07-02T17:28:33,CALL006,11,SPEAKER_2,59.4,61.0,1.6,My age is twenty-two.,Customer
run_004,2026-07-02T17:28:33,CALL006,12,SPEAKER_1,61.4,65.0,3.6,"Twenty-two. Are you salaried, a businessman, or a student?",Agent
run_004,2026-07-02T17:28:33,CALL006,13,SPEAKER_2,65.6,67.6,2.0,"Hello, I am an employee at SP.",Customer
run_004,2026-07-02T17:28:33,CALL006,14,SPEAKER_1,68.2,72.6,4.4,"Okay, you are the right person. How many family members do you have?",Agent
run_004,2026-07-02T17:28:33,CALL006,15,SPEAKER_2,73.6,78.0,4.4,"Family members? My father, mother, and brother.",Customer
run_004,2026-07-02T17:28:33,CALL006,16,SPEAKER_1,78.6,80.1,1.5,"A total of four members, right?",Agent
run_004,2026-07-02T17:28:33,CALL006,17,SPEAKER_2,80.4,81.2,0.8,"Yeah, correct.",Customer
run_004,2026-07-02T17:28:33,CALL006,18,SPEAKER_1,81.3,83.6,2.3,"Okay, Mr. Naz, which vehicle do you own?",Agent
run_004,2026-07-02T17:28:33,CALL006,19,SPEAKER_2,84.6,88.5,3.9,"Uh, I have a Scorpio.",Customer
run_004,2026-07-02T17:28:33,CALL006,20,SPEAKER_1,89.1,91.0,1.9,"Scorpio, right? Scorpio Classic?",Agent
run_004,2026-07-02T17:28:33,CALL006,21,SPEAKER_2,92.1,93.1,1.0,Sportive Class.,Customer
run_004,2026-07-02T17:28:33,CALL006,22,SPEAKER_1,93.7,96.1,2.4,Scorpio Classic. And which other vehicle do you have?,Agent
run_004,2026-07-02T17:28:33,CALL006,23,SPEAKER_2,95.7,98.2,2.5,And Hilux. My brother has a Hilux.,Customer
run_004,2026-07-02T17:28:33,CALL006,24,SPEAKER_1,98.2,99.8,1.6,And which one do you personally own?,Agent
run_004,2026-07-02T17:28:33,CALL006,25,SPEAKER_2,100.3,100.8,0.5,Hilux.,Customer
run_004,2026-07-02T17:28:33,CALL006,26,SPEAKER_1,101.5,109.3,7.8,"Okay. So, from where did you hear about the Mahindra Adventures event?",Agent
run_004,2026-07-02T17:28:33,CALL006,27,SPEAKER_2,114.5,115.2,0.7,Instagram.,Customer
run_004,2026-07-02T17:28:33,CALL006,28,SPEAKER_1,115.8,118.3,2.5,Instagram. And for which location did you see it?,Agent
run_004,2026-07-02T17:28:33,CALL006,29,SPEAKER_2,119.5,120.7,1.2,"Coorg, thank you.",Customer
run_004,2026-07-02T17:28:33,CALL006,30,SPEAKER_1,121.3,121.9,0.6,Coorg?,Agent
run_004,2026-07-02T17:28:33,CALL006,31,SPEAKER_2,122.3,122.7,0.4,Yeah.,Customer
run_004,2026-07-02T17:28:33,CALL006,32,SPEAKER_1,123.2,132.2,9.0,"Okay, okay. So, what was the reason you showed interest in the Coorg location?",Agent
run_004,2026-07-02T17:28:33,CALL006,33,SPEAKER_2,130.6,134.0,3.4,"Yeah, I couldn't get leave.",Customer
run_004,2026-07-02T17:28:33,CALL006,34,SPEAKER_1,134.7,140.1,5.4,"No, no. What was the reason you showed interest in the Coorg location specifically?",Agent
run_004,2026-07-02T17:28:33,CALL006,35,SPEAKER_2,141.2,141.7,0.5,Sir?,Customer
run_004,2026-07-02T17:28:33,CALL006,36,SPEAKER_1,141.9,142.6,0.7,For the win.,Agent
run_004,2026-07-02T17:28:33,CALL006,37,SPEAKER_2,143.9,144.6,0.7,"Pardon, sir.",Customer
run_004,2026-07-02T17:28:33,CALL006,38,SPEAKER_1,146.2,151.8,5.6,What was the reason you showed interest in the Coorg location?,Agent
