sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,sentiment_label,sentiment_score,positive_component,neutral_component,negative_component,experience_classifier_used,customer_experience_label,is_customer_experience_negative,customer_experience_confidence,customer_experience_reason,customer_experience_issue_theme,customer_experience_issue_pointer
Other,A007,Sneha,High,registry_name_match,CALL007,1,SPEAKER_0,0.6,1.5,0.9,"Yes, yes.",Unknown,Positive,0.6597,1.0,0.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,2,SPEAKER_2,4.6,7.3,2.7,"Hey, Rakhi, Rakhi, Rakhi, Rakhi, Rakhi.",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,3,SPEAKER_1,8.4,8.7,0.3,Hello.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,4,SPEAKER_2,11.0,14.8,3.8,"Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.",Agent,Positive,0.6369,0.366,0.634,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,5,SPEAKER_1,15.7,16.6,0.9,"Yes, I will get it. Please tell me.",Customer,Positive,0.6124,0.455,0.545,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,6,SPEAKER_2,18.1,20.2,2.1,Am I speaking to Pati Sharma ji?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,7,SPEAKER_1,20.9,21.7,0.8,"Yes, tell me.",Customer,Positive,0.4019,0.574,0.426,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,8,SPEAKER_2,22.4,36.2,13.8,"Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our",Agent,Positive,0.3612,0.111,0.889,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,9,SPEAKER_1,35.9,36.4,0.5,"Okay, ma'am.",Customer,Positive,0.2263,0.655,0.345,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,10,SPEAKER_2,36.4,37.1,0.7,So...,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
