sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,sentiment_label,sentiment_score,positive_component,neutral_component,negative_component,experience_classifier_used,customer_experience_label,is_customer_experience_negative,customer_experience_confidence,customer_experience_reason,customer_experience_issue_theme,customer_experience_issue_pointer
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,1,SPEAKER_2,7.7,8.3,0.6,Hello.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,2,SPEAKER_1,9.9,16.8,6.9,"Hello, I am Dheeraj speaking from the Mahindra Relationship Center, Mumbai. Am I speaking with Kunal",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,3,SPEAKER_2,17.4,18.4,1.0,"Yes, congratulations.",Customer,Positive,0.765,1.0,0.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,4,SPEAKER_1,18.6,37.8,19.2,"Kunal Roy ji, as you showed interest in Mahindra's adventure skill or event but, due to some reason, you",Agent,Positive,0.3919,0.177,0.823,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,5,SPEAKER_2,38.4,39.6,1.2,"Yes, sir, please speak.",Customer,Positive,0.6124,0.714,0.286,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,6,SPEAKER_1,40.2,45.2,5.0,"Okay. So, for profile purposes, can I know, Kunal ji, what is your age?",Agent,Positive,0.2263,0.128,0.872,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,7,SPEAKER_2,46.0,46.9,0.9,Twenty-seven.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,8,SPEAKER_1,47.4,49.3,1.9,"And do you have a job, or do you run a business?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,9,SPEAKER_2,49.8,51.7,1.9,Sales employee business.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,10,SPEAKER_1,52.0,55.2,3.2,"Okay, it's a business. And how many members are there in your family, sir?",Agent,Positive,0.2263,0.128,0.872,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,11,SPEAKER_2,57.2,58.0,0.8,Four people.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,12,SPEAKER_1,58.6,63.6,5.0,There are four members. Can you tell me which car you have as a four-wheeler?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,13,SPEAKER_2,64.9,67.5,2.6,"It's a Brezza, and it's a Fortuner.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,14,SPEAKER_1,67.5,68.3,0.8,"Yes, it's great.",Agent,Positive,0.7783,0.872,0.128,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,15,SPEAKER_1,70.2,80.3,10.1,"Thar, Fortuner, and Brezza, right? So, can I know, for the first time, where did you get information about",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,16,SPEAKER_2,72.5,72.8,0.3,And...,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,17,SPEAKER_2,81.0,82.7,1.7,Add it too.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,18,SPEAKER_1,82.5,86.8,4.3,"Instagram? Okay, on Instagram. For which location did you see it? If I may know.",Agent,Positive,0.3094,0.139,0.861,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,19,SPEAKER_2,87.5,89.4,1.9,"At that time, it was probably from Nagaland.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,20,SPEAKER_1,89.9,96.5,6.6,"Nagaland. So, what kind of thing did you find interesting there that made you interested in that event? If I",Agent,Positive,0.6597,0.231,0.769,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,21,SPEAKER_1,99.4,101.0,1.6,As per the location.,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,22,SPEAKER_2,100.0,102.2,2.2,According to the location.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,23,SPEAKER_1,103.1,105.4,2.3,"So, did you like it based on the location?",Agent,Positive,0.3612,0.238,0.762,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,24,SPEAKER_2,106.0,106.8,0.8,Hmm.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,25,SPEAKER_1,107.5,116.4,8.9,"According to the location. So, finally, you mean that the subscription you did was rejected. Can I know",Agent,Negative,-0.5106,0.0,0.837,0.163,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,26,SPEAKER_2,118.1,119.2,1.1,What?,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,27,SPEAKER_1,119.9,130.9,11.0,"You had shown interest in the Thar—sorry, Mahindra event for adventures—but you rejected it. So, can",Agent,Negative,-0.0772,0.148,0.69,0.163,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,28,SPEAKER_2,130.6,134.8,4.2,"Sir, I think it was for ten to twelve days, so I couldn't make it for that long.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,29,SPEAKER_1,135.4,137.8,2.4,"Okay. It was a time issue, right?",Agent,Positive,0.2263,0.241,0.759,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,30,SPEAKER_2,138.5,139.0,0.5,Hmm.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,31,SPEAKER_1,139.5,145.8,6.3,"Okay, so currently, are you looking for any outdoor experiences again for the event?",Agent,Positive,0.2263,0.128,0.872,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,32,SPEAKER_2,146.0,148.2,2.2,"If there's something nearby, we'll take a walk.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,33,SPEAKER_1,148.4,150.1,1.7,"So, you are not considering anything right now.",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,34,SPEAKER_2,150.1,156.1,6.0,"For  example,  the  one  from  Gwalior  was  also  a  thousand  kilometers  away  from  my  house,  so  I  had",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,35,SPEAKER_1,156.8,159.9,3.1,"Okay, so for now, you are not looking at it, right?",Agent,Positive,0.2263,0.16,0.84,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,36,SPEAKER_2,159.9,160.4,0.5,"No, no.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,37,SPEAKER_1,160.8,166.3,5.5,"Okay, so it seems like there should be some improvement in Mahindra's adventure event.",Agent,Positive,0.8387,0.499,0.501,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,38,SPEAKER_2,167.5,170.3,2.8,"No, no, sir, there is no such issue. I had my own issue.",Customer,Negative,-0.296,0.0,0.845,0.155,Yes,Negative Experience,True,0.8,Customer states having their own issue despite no issue with the event,Unspecified personal issue,Customer mentions having an issue unrelated to the event
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,39,SPEAKER_1,170.6,185.2,14.6,"Okay, so if we need to inform you about the adventurous event, how long in advance can we inform",Agent,Positive,0.5106,0.202,0.798,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,40,SPEAKER_2,185.9,187.3,1.4,"About the exam, sir.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,41,SPEAKER_1,188.6,189.6,1.0,Today?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,42,SPEAKER_2,188.9,193.9,5.0,"Today, you can notify me. Whether I want to go or not, that's my wish. You can take it.",Customer,Negative,-0.2401,0.063,0.827,0.11,Yes,Answer / Preference,False,0.9,"Customer expresses a preference and leaves decision to them, no dissatisfaction expressed",,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,43,SPEAKER_1,193.6,197.1,3.5,We can tell you by when we can inform you about this.,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,44,SPEAKER_2,197.4,199.7,2.3,When should we start from next month?,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,45,SPEAKER_1,200.2,203.2,3.0,"Meaning, one week or one to two weeks in advance.",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,46,SPEAKER_2,203.8,204.4,0.6,Hmm.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,47,SPEAKER_1,204.9,212.8,7.9,"Okay. Thank you, sir. Almost all your feedback has been captured, and you took out your precious time",Agent,Positive,0.7964,0.351,0.649,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,48,SPEAKER_2,214.1,214.8,0.7,Thank you.,Customer,Positive,0.3612,0.714,0.286,0.0,No,,False,,,,
Other,A006,Dheeraj,Medium,registry_name_match,CALL008,49,SPEAKER_1,215.0,215.9,0.9,"You're welcome, sir.",Agent,Positive,0.4588,0.6,0.4,0.0,No,,False,,,,
