output_version,output_generated_at,sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,sentiment_label,sentiment_score,positive_component,neutral_component,negative_component,experience_classifier_used,customer_experience_label,is_customer_experience_negative,customer_experience_confidence,customer_experience_reason,customer_experience_issue_theme,customer_experience_issue_pointer
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,1,SPEAKER_2,21.1,21.5,0.4,Hello.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,2,SPEAKER_1,22.6,27.5,4.9,"Hello, I am Dheeraj speaking from Mahindra Adventures Event. Am I speaking with Mr. Nath?",Agent,Positive,0.34,0.146,0.854,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,3,SPEAKER_2,27.9,30.0,2.1,"Oh yeah, can you speak in English?",Customer,Positive,0.296,0.268,0.732,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,4,SPEAKER_1,30.2,33.0,2.8,"Extremely sorry, sir. Am I speaking to Mr. Naz only, right?",Agent,Negative,-0.1513,0.0,0.863,0.137,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,5,SPEAKER_2,33.5,34.1,0.6,"Yeah, yeah.",Customer,Positive,0.5267,1.0,0.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,6,SPEAKER_1,34.2,48.6,14.4,"Mr. Naz, as you have shown your interest in Mahindra Adventure 7, but due to some reason, you rejected",Agent,Negative,-0.4215,0.151,0.664,0.185,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,7,SPEAKER_2,49.1,50.4,1.3,"Yeah, yeah.",Customer,Positive,0.5267,1.0,0.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,8,SPEAKER_1,50.2,53.2,3.0,"So, for profile purposes, I need to confirm your age. May I know your age?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,9,SPEAKER_2,55.0,55.5,0.5,Hello.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,10,SPEAKER_1,56.0,59.0,3.0,"For profile purposes, may I know what your age is, Mr. Naz?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,11,SPEAKER_2,59.4,61.0,1.6,My age is twenty-two.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,12,SPEAKER_1,61.4,65.0,3.6,"Twenty-two. Are you salaried, a businessman, or a student?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,13,SPEAKER_2,65.6,67.6,2.0,"Hello, I am an employee at SP.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,14,SPEAKER_1,68.2,72.6,4.4,"Okay, you are the right person. How many family members do you have?",Agent,Positive,0.2263,0.137,0.863,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,15,SPEAKER_2,73.6,78.0,4.4,"Family members? My father, mother, and brother.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,16,SPEAKER_1,78.6,80.1,1.5,"A total of four members, right?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,17,SPEAKER_2,80.4,81.2,0.8,"Yeah, correct.",Customer,Positive,0.296,0.688,0.312,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,18,SPEAKER_1,81.3,83.6,2.3,"Okay, Mr. Naz, which vehicle do you own?",Agent,Positive,0.2263,0.213,0.787,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,19,SPEAKER_2,84.6,88.5,3.9,"Uh, I have a Scorpio.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
