call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
CALL009,1,SPEAKER_2,1.4,11.4,10.0,Namaste Sadavatsale Matrubhoome Dvaya Hindu Bhoome Sukham Vardhito Om,Customer
CALL009,2,SPEAKER_2,13.3,14.6,1.3,Mahamana,Customer
CALL009,3,SPEAKER_0,15.2,15.5,0.3,Hello,Unknown
CALL009,4,SPEAKER_1,16.4,43.2,26.8,"Hello, I am Dheeraj speaking from Mahindra Adventures Event. Am I speaking with Khushra Garra ji? Am I speaking with Khush Garra ji? Mr. Khush Garra ji, as you had shown interest in the Mahindra Adventures Event, but due to some reason, you couldn't attend, this is a small feedback call so that we can improve our Adventures Event further. So, without taking much time, may I know if this is the right time to talk to you? It will hardly take five minutes.",Agent
CALL009,5,SPEAKER_2,30.0,30.3,0.3,TCP,Customer
CALL009,6,SPEAKER_2,43.9,45.2,1.3,"Yes, yes, speaking.",Customer
CALL009,7,SPEAKER_1,45.1,49.1,4.0,"Okay, so for profile purposes, first of all, may I know your age?",Agent
CALL009,8,SPEAKER_2,50.0,51.2,1.2,I am 31 years old.,Customer
CALL009,9,SPEAKER_1,51.5,53.8,2.3,"31. And you are a businessman, sir?",Agent
CALL009,10,SPEAKER_2,55.1,56.6,1.5,"I am both, okay.",Customer
CALL009,11,SPEAKER_1,57.0,62.7,5.7,"Okay, so both. In your family, how many members are there?",Agent
CALL009,12,SPEAKER_2,63.7,64.5,0.8,Three.,Customer
CALL009,13,SPEAKER_1,65.2,69.1,3.9,Three. And which vehicle do you currently own?,Agent
CALL009,14,SPEAKER_2,70.0,73.2,3.2,I have one Mahindra Pursuit and one Mahindra Thar.,Customer
CALL009,15,SPEAKER_1,73.1,74.7,1.6,Mahindra Thar.,Agent
CALL009,16,SPEAKER_2,75.7,77.2,1.5,"And one more, it’s a positive entry.",Customer
CALL009,17,SPEAKER_1,77.8,80.8,3.0,Scorpio. Is it Thar or Thar Rocks?,Agent
CALL009,18,SPEAKER_2,81.7,84.9,3.2,It is Thar. New Year 2024.,Customer
CALL009,19,SPEAKER_1,82.8,83.2,0.4,Thar.,Agent
CALL009,20,SPEAKER_1,84.9,92.1,7.2,"Okay. So, from where did you first hear about the Mahindra Adventures Event?",Agent
CALL009,21,SPEAKER_2,93.5,96.8,3.3,I follow Mahindra Adventure Series on Instagram.,Customer
CALL009,22,SPEAKER_1,97.7,109.9,12.2,"Okay, so you got to know about it online, from the website or Instagram, right? For which location did you register for the event?",Agent
CALL009,23,SPEAKER_2,111.1,120.7,9.6,"Yeah, location-wise, I am based in Pune actually. So, I keep looking for expeditions around Pune, around Maharashtra, you know, the neighborhood.",Customer
